Wavelength Intensity
693.525 5009.6
693.481 4840.06
693.437 4885.59
693.393 4882.12
693.348 4788.86
693.304 4736.44
693.26 4806.43
693.216 4699.63
693.172 4707.07
693.128 4630.22
693.083 4735.53
693.039 4631.52
692.995 4595.49
692.951 4559.46
692.907 4632.11
692.862 4707.46
692.818 4679.58
692.774 4776.62
692.73 4612.98
692.686 4650.28
692.642 4568.14
692.597 4673.28
692.553 4626.44
692.509 4612.17
692.465 4625.02
692.421 4523.96
692.376 4572.08
692.332 4536.13
692.288 4573.39
692.244 4480.53
692.2 4471.72
692.155 4679.68
692.111 4554.33
692.067 4518.42
692.023 4468.98
691.979 4468.29
691.934 4505.51
691.89 4499.41
691.846 4422.93
691.802 4503.44
691.758 4610.99
691.713 4396.54
691.669 4566.29
691.625 4535.84
691.581 4445.9
691.536 4629.09
691.492 4528.35
691.448 4473.59
691.404 4359.4
691.36 4558.69
691.315 4528.27
691.271 4514.07
691.227 4351.32
691.183 4320.95
691.138 4498.49
691.094 4473.51
691.05 4432.33
691.006 4374.97
690.961 4509.23
690.917 4360.14
690.873 4432.31
690.829 4445.12
690.785 4339.26
690.74 4392.52
690.696 4416.11
690.652 4404.65
690.608 4363.54
690.563 4228.13
690.519 4292.15
690.475 4358.84
690.431 4387.8
690.386 4311.72
690.342 4286.82
690.298 4342.7
690.254 4385.11
690.209 4244.48
690.165 4230.37
690.121 4315.82
690.077 4385.1
690.032 4284.91
689.988 4222.39
689.944 4377.71
689.9 4213.03
689.855 4244.64
689.811 4268.18
689.767 4321.27
689.722 4240.0
689.678 4161.44
689.634 4238.7
689.59 4025.87
689.545 4119.24
689.501 4260.91
689.457 4126.03
689.413 4133.45
689.368 4202.59
689.324 4175.11
689.28 4212.02
689.236 4179.19
689.191 4186.59
689.147 4226.17
689.103 4064.65
689.058 4203.43
689.014 4301.95
688.97 4113.7
688.926 4118.42
688.881 4216.92
688.837 4127.87
688.793 4178.12
688.748 4166.77
688.704 3989.42
688.66 4119.98
688.616 4052.43
688.571 4121.39
688.527 4211.73
688.483 4160.25
688.438 4025.86
688.394 4089.43
688.35 4091.48
688.305 4197.8
688.261 4052.79
688.217 4028.11
688.173 4153.1
688.128 3976.1
688.084 3975.49
688.04 3980.22
687.995 4155.89
687.951 4043.09
687.907 4050.47
687.862 4143.29
687.818 3918.43
687.774 3995.23
687.729 3981.27
687.685 4028.68
687.641 4030.73
687.596 4120.79
687.552 4056.15
687.508 4111.52
687.464 3934.94
687.419 3998.3
687.375 3880.42
687.331 4082.34
687.286 3996.46
687.242 3844.0
687.198 3963.26
687.153 4071.84
687.109 3940.74
687.065 3934.81
687.02 4091.25
686.976 3992.15
686.932 3882.43
686.887 3964.31
686.843 3987.64
686.799 3957.77
686.754 3877.38
686.71 4009.73
686.666 3892.14
686.621 4027.1
686.577 3957.38
686.532 3962.08
686.488 3966.79
686.444 3995.4
686.399 3949.63
686.355 4057.9
686.311 3921.86
686.266 4019.48
686.222 3878.18
686.178 3885.54
686.133 3906.17
686.089 3934.75
686.045 3838.6549999999997
686.0 3742.56
685.956 3964.76
685.912 3905.81
685.867 3913.16
685.823 3856.89
685.778 3824.49
685.734 3784.15
685.69 3863.05
685.645 3894.25
685.601 3835.37
685.557 3906.29
685.512 4006.31
685.468 3995.1
685.424 3864.77
685.379 3882.7
685.335 3868.87
685.29 3870.92
685.246 3865.03
685.202 3830.05
685.157 3858.55
685.113 3897.62
685.068 3838.85
685.024 3819.75
684.98 3774.23
684.935 3845.0
684.891 3891.97
684.847 3838.53
684.802 3806.24
684.758 3832.06
684.713 3847.31
684.669 3844.08
684.625 3669.26
684.58 3824.41
684.536 3807.99
684.491 3854.9
684.447 3928.17
684.403 3824.69
684.358 3813.55
684.314 3844.6
684.269 3830.83
684.225 3701.07
684.181 3832.28
684.136 3726.27
684.092 3889.06
684.047 3854.21
684.003 3727.18
683.959 3887.26
683.914 3849.79
683.87 3833.4
683.825 3756.46
683.781 3716.4
683.737 3797.41
683.692 3715.25
683.648 3827.8
683.603 3885.08
683.559 3821.36
683.514 3844.43
683.47 3728.16
683.426 3811.7
683.381 3771.69
683.337 3884.1
683.292 3891.39
683.248 3811.97
683.203 3819.26
683.159 3902.71
683.115 3836.46
683.07 3867.37
683.026 3853.65
682.981 3926.54
682.937 3912.81
682.892 3867.6
682.848 3927.34
682.804 3908.37
682.759 3794.99
682.715 3886.18
682.67 3877.72
682.626 3864.01
682.581 3913.21
682.537 3771.09
682.492 3932.96
682.448 3874.72
682.404 3842.68
682.359 4164.23
682.315 4160.96
682.27 3856.61
682.226 3874.33
682.181 3923.46
682.137 3951.64
682.092 3961.5
682.048 3921.64
682.004 3868.72
681.959 3807.96
681.915 3974.73
681.87 3895.68
681.826 4017.94
681.781 3933.68
681.737 3948.75
681.692 4023.91
681.648 3965.81
681.603 3876.39
681.559 4121.29
681.514 3995.3
681.47 4070.4
681.425 3983.62
681.381 4090.02
681.337 3966.73
681.292 3986.99
681.248 3955.06
681.203 4048.36
681.159 4024.25
681.114 4002.77
681.07 4004.76
681.025 4129.26
680.981 4024.37
680.936 3969.01
680.892 4028.33
680.847 4131.91
680.803 4053.13
680.758 4010.83
680.714 4038.85
680.669 3993.96
680.625 4074.04
680.58 4172.31
680.536 4038.94
680.491 4090.36
680.447 4003.87
680.402 4065.68
680.358 4104.06
680.313 4074.82
680.269 4113.18
680.224 4154.14
680.18 4135.3
680.135 4158.05
680.091 4139.21
680.046 4125.58
680.002 4114.55
679.957 4059.37
679.913 4089.9
679.868 4019.16
679.824 4109.4
679.779 4108.76
679.735 4040.65
679.69 4154.19
679.646 4109.44
679.601 4033.58
679.557 4108.16
679.512 4133.45
679.468 4171.7
679.423 4111.43
679.379 4103.02
679.334 4177.53
679.29 4143.2
679.245 4093.33
679.201 4152.27
679.156 4084.29
679.111 4135.44
679.067 4057.13
679.022 4079.8
678.978 4079.16
678.933 4109.58
678.889 4158.11
678.844 4116.07
678.8 3993.85
678.755 4117.37
678.711 4033.98
678.666 4069.55
678.622 4045.65
678.577 4024.35
678.532 3961.7
678.488 4033.43
678.443 3999.22
678.399 4029.59
678.354 4013.47
678.31 3961.2
678.265 3955.42
678.221 3921.24
678.176 3954.19
678.132 3945.83
678.087 4022.62
678.042 3936.86
677.998 3954.31
677.953 3878.9
677.909 3942.76
677.864 3898.32
677.82 3781.71
677.775 3840.4
677.731 3806.3
677.686 3916.5
677.641 3825.72
677.597 3783.91
677.552 3868.32
677.508 3648.83
677.463 3748.68
677.419 3737.8
677.374 3708.9
677.329 3770.09
677.285 3766.93
677.24 3750.9
677.196 3740.03
677.151 3688.01
677.107 3687.44
677.062 3620.01
677.017 3750.55
676.973 3711.41
676.928 3672.29
676.884 3612.62
676.839 3627.47
676.795 3675.71
676.75 3574.98
676.705 3611.65
676.661 3648.32
676.616 3563.04
676.572 3624.08
676.527 3523.43
676.482 3646.04
676.438 3617.25
676.393 3691.08
676.349 3493.02
676.304 3623.25
676.259 3522.7
676.215 3517.02
676.17 3526.73
676.126 3656.87
676.081 3628.12
676.036 3509.71
675.992 3480.99
675.947 3452.27
675.903 3505.5
675.858 3530.56
675.813 3542.81
675.769 3478.27
675.724 3521.23
675.68 3546.27
675.635 3520.13
675.59 3517.02
675.546 3536.93
675.501 3434.1
675.456 3492.37
675.412 3379.35
675.367 3368.6
675.323 3370.62
675.278 3441.64
675.233 3438.55
675.189 3381.82
675.144 3432.37
675.1 3347.57
675.055 3421.08
675.01 3410.34
674.966 3302.61
674.921 3289.33
674.876 3270.96
674.832 3469.43
674.787 3241.88
674.742 3322.98
674.698 3404.06
674.653 3324.49
674.609 3431.04
674.564 3234.25
674.519 3243.94
674.475 3230.69
674.43 3288.78
674.385 3270.44
674.341 3282.66
674.296 3170.11
674.251 3235.81
674.207 3166.57
674.162 3216.98
674.117 3249.56
674.073 3104.03
674.028 3207.84
673.984 3138.66
673.939 3153.43
673.894 3180.91
673.85 3038.04
673.805 3121.45
673.76 3026.93
673.716 3158.59
673.671 3145.39
673.626 3063.61
673.582 3101.23
673.537 3100.74
673.492 3020.285
673.448 2939.83
673.403 3104.37
673.358 3022.67
673.314 3166.83
673.269 3014.11
673.224 3008.56
673.18 3003.02
673.135 3048.2
673.09 3095.9
673.046 2895.13
673.001 3034.09
672.956 2988.0
672.912 2954.59
672.867 3025.07
672.822 2915.67
672.778 3029.18
672.733 3013.52
672.688 2932.02
672.643 2964.47
672.599 2931.1
672.554 2907.87
672.509 2889.7
672.465 2914.55
672.42 2924.21
672.375 2916.16
672.331 2908.12
672.286 2895.02
672.241 2942.6
672.197 2886.53
672.152 2954.31
672.107 2885.63
672.063 2864.96
672.018 2902.4
671.973 2874.17
671.928 2934.32
671.884 2747.02
671.839 2948.55
671.794 2915.27
671.75 2889.58
671.705 2851.28
671.66 2873.54
671.615 2807.5
671.571 2885.25
671.526 2932.71
671.481 2884.34
671.437 2838.51
671.392 2835.55
671.347 2888.02
671.302 2890.09
671.258 2904.75
671.213 2864.0
671.168 2863.55
671.124 2785.04
671.079 2761.94
671.034 2849.61
670.989 2801.34
670.945 2841.17
670.9 2787.88
670.855 2820.15
670.811 2842.35
670.766 2907.29
670.721 2854.03
670.676 2926.49
670.632 2860.67
670.587 2857.71
670.542 2874.85
670.497 2736.21
670.453 2808.63
670.408 2913.69
670.363 2863.0
670.318 2895.19
670.274 2759.17
670.229 2801.41
670.184 2783.4
670.14 2762.89
670.095 2790.05
670.05 2777.07
670.005 2819.27
669.961 2773.69
669.916 2670.45
