Wavelength Intensity
700.006 6901.28
699.962 6675.79
699.918 6797.24
699.874 6718.29
699.83 6661.61
699.786 6719.03
699.742 6726.35
699.698 6764.27
699.654 6554.67
699.61 6625.97
699.566 6638.86
699.522 6690.66
699.478 6697.98
699.434 6660.84
699.389 6659.83
699.345 6622.7
699.301 6735.58
699.257 6529.04
699.213 6719.64
699.169 6699.19
699.125 6820.31
699.081 6683.27
699.037 6635.08
698.993 6667.37
698.949 6730.16
698.905 6687.53
698.861 6708.7
698.817 6588.44
698.773 6559.72
698.729 6722.27
698.685 6543.86
698.641 6686.97
698.597 6497.54
698.553 6502.09
698.509 6523.26
698.465 6574.89
698.421 6584.96
698.377 6489.83
698.333 6452.85
698.289 6565.35
698.245 6500.7
698.201 6339.22
698.157 6523.62
698.113 6359.42
698.068 6363.99
698.024 6540.0
697.98 6483.71
697.936 6410.84
697.892 6396.04
697.848 6314.93
697.804 6244.88
697.76 6390.36
697.716 6436.35
697.672 6421.56
697.628 6564.18
697.584 6234.61
697.54 6421.38
697.496 6329.32
697.452 6482.9
697.408 6429.49
697.364 6478.17
697.319 6419.25
697.275 6456.89
697.231 6400.75
697.187 6339.11
697.143 6338.15
697.099 6444.68
697.055 6325.19
697.011 6340.76
696.967 6259.89
696.923 6261.69
696.879 6340.62
696.835 6152.38
696.791 6148.69
696.746 6277.15
696.702 6182.6
696.658 6162.39
696.614 6188.97
696.57 6303.59
696.526 6299.87
696.482 6370.43
696.438 6275.95
696.394 6261.24
696.35 6271.29
696.306 6165.87
696.261 6186.92
696.217 6320.63
696.173 6204.26
696.129 6175.85
696.085 6207.87
696.041 6143.75
695.997 6260.89
695.953 6092.46
695.909 6151.92
695.864 6269.0
695.82 6342.14
695.776 6439.96
695.732 6120.73
695.688 6278.89
695.644 6332.79
695.6 6205.68
695.556 6366.5
695.512 6335.37
695.467 6200.1
695.423 6223.81
695.379 6346.17
695.335 6435.61
695.291 6336.02
695.247 6414.48
695.203 6369.68
695.159 6448.11
695.114 6406.06
695.07 6372.24
695.026 6387.68
694.982 6444.17
694.938 6248.93
694.894 6371.08
694.85 6164.97
694.806 6322.64
694.761 6174.03
694.717 6184.02
694.673 6163.94
694.629 6135.67
694.585 6099.2
694.541 6005.38
694.497 6132.85
694.452 6066.36
694.408 5928.89
694.364 6089.08
694.32 5962.57
694.276 5988.95
694.232 6116.31
694.188 6019.87
694.143 5967.11
694.099 5848.89
694.055 6003.47
694.011 5961.64
693.967 5974.37
693.923 5959.82
693.878 5909.84
693.834 5873.51
693.79 5995.24
693.746 5882.61
693.702 6001.58
693.658 6164.09
693.613 5871.74
693.569 5919.86
693.525 5910.78
693.481 5918.04
693.437 5955.24
693.393 6008.76
693.348 5874.51
693.304 5936.19
693.26 5886.32
693.216 5947.97
693.172 5835.57
693.128 5793.89
693.083 5866.4
693.039 5816.58
692.995 5799.38
692.951 5765.895
692.907 5732.41
692.862 5720.66
692.818 5771.39
692.774 5705.33
692.73 5530.69
692.686 5738.88
692.642 5800.43
692.597 5712.7
692.553 5744.38
692.509 5648.55
692.465 5625.98
692.421 5687.5
692.376 5697.48
692.332 5598.99
692.288 5768.93
692.244 5643.36
692.2 5658.75
692.155 5584.72
692.111 5551.36
692.067 5658.86
692.023 5563.2
691.979 5689.62
691.934 5615.65
691.89 5601.25
691.846 5576.03
691.802 5672.6
691.758 5666.32
691.713 5589.7
691.669 5629.42
691.625 5585.28
691.581 5403.23
691.536 5461.89
691.492 5607.04
691.448 5646.73
691.404 5464.78
691.36 5590.95
691.315 5552.27
691.271 5648.67
691.227 5483.04
691.183 5538.91
691.138 5500.26
691.094 5539.91
691.05 5638.94
691.006 5508.53
690.961 5480.7
690.917 5423.19
690.873 5433.15
690.829 5534.82
690.785 5423.39
690.74 5419.87
690.696 5529.57
690.652 5321.16
690.608 5403.9
690.563 5470.44
690.519 5515.4
690.475 5479.53
690.431 5325.16
690.386 5459.0
690.342 5512.01
690.298 5274.24
690.254 5402.65
690.209 5353.37
690.165 5427.9
690.121 5394.78
690.077 5385.88
690.032 5430.78
689.988 5467.6
689.944 5353.82
689.9 5412.14
689.855 5438.19
689.811 5375.54
689.767 5390.84
689.722 5430.31
689.678 5426.79
689.634 5364.18
689.59 5478.84
689.545 5225.58
689.501 5431.51
689.457 5339.41
689.413 5309.06
689.368 5302.88
689.324 5146.44
689.28 5320.03
689.236 5225.33
689.191 5310.35
689.147 5242.49
689.103 5407.92
689.058 5227.48
689.014 5336.57
688.97 5362.55
688.926 5251.86
688.881 5159.96
688.837 5231.49
688.793 5311.04
688.748 5310.22
688.704 5215.69
688.66 5313.94
688.616 5171.26
688.571 5199.91
688.527 5252.62
688.483 5211.68
688.438 5240.31
688.394 5079.03
688.35 5252.07
688.305 5328.8
688.261 5124.8
688.217 5217.57
688.173 5211.42
688.128 5256.04
688.084 5135.01
688.04 5254.42
687.995 5200.2
687.951 5207.41
687.907 5070.43
687.862 5168.43
687.818 5090.23
687.774 5158.83
687.729 5238.09
687.685 5191.93
687.641 5148.45
687.596 4958.29
687.552 5077.53
687.508 5076.74
687.464 5265.25
687.419 5136.49
687.375 4959.8
687.331 5108.26
687.286 5139.44
687.242 5146.64
687.198 5132.53
687.153 5113.1
687.109 5106.99
687.065 5178.08
687.02 5126.71
686.976 4979.54
686.932 5252.86
686.887 4954.06
686.843 5123.55
686.799 5056.27
686.754 5103.36
686.71 5155.75
686.666 5053.93
686.621 5055.81
686.577 5025.79
686.532 5035.65
