Wavelength Intensity
686.488 5090.67
686.444 4991.59
686.399 5030.66
686.355 5122.84
686.311 4925.55
686.266 4993.82
686.222 4974.47
686.178 4841.0
686.133 4978.24
686.089 5123.4
686.045 5138.53
686.0 4938.81
685.956 5004.34
685.912 4937.28
685.867 5018.71
685.823 5044.44
685.778 5011.86
685.734 5122.38
685.69 4957.32
685.645 4887.68
685.601 5101.47
685.557 5124.52
685.512 4909.25
685.468 4953.5
685.424 4952.73
685.379 4880.51
685.335 4940.62
685.29 4902.81
685.246 4957.61
685.202 4911.88
685.157 4953.44
685.113 5050.51
685.068 4988.92
685.024 4903.56
684.98 4836.73
684.935 4917.9
684.891 4896.0
684.847 4859.585
684.802 4823.17
684.758 4883.17
684.713 4929.95
684.669 4958.23
684.625 4870.35
684.58 4964.61
684.536 4808.15
684.491 4944.61
684.447 4988.69
684.403 4887.69
684.358 4873.75
684.314 4767.52
684.269 4866.97
684.225 4882.03
684.181 4910.27
684.136 4935.86
684.092 4890.31
684.047 4936.97
684.003 4975.72
683.959 4906.48
683.914 4889.92
683.87 4970.78
683.825 4838.39
683.781 4966.61
683.737 4902.68
683.692 4941.39
683.648 4953.78
683.603 4992.47
683.559 4960.14
683.514 4988.3
683.47 5042.74
683.426 4931.55
683.381 4909.76
683.337 4953.68
683.292 5052.76
683.248 4946.89
683.203 5111.61
683.159 5047.79
683.115 5089.02
683.07 5001.59
683.026 4906.31
682.981 4931.8
682.937 4973.02
682.892 4980.13
682.848 4966.24
682.804 4965.47
682.759 4904.38
682.715 4945.58
682.67 5062.79
682.626 5022.69
682.581 5061.23
682.537 5000.17
682.492 5070.14
682.448 5231.78
682.404 4916.64
682.359 5054.69
682.315 4870.6
682.27 4982.43
682.226 4994.75
682.181 5072.5
682.137 4995.82
682.092 5063.08
682.048 4962.88
682.004 5205.37
681.959 5081.65
681.915 5046.86
681.87 5004.25
681.826 5021.77
681.781 5005.31
681.737 5216.22
681.692 5066.47
681.648 5047.4
681.603 4999.6
681.559 5022.33
681.514 5005.88
681.47 5153.93
681.425 5059.15
681.381 5277.61
681.337 5081.07
681.292 5221.18
681.248 5160.37
681.203 5070.88
681.159 5294.39
681.114 5233.59
681.07 5167.6
681.025 5218.93
680.981 5098.22
680.936 5042.71
680.892 5242.56
680.847 5101.06
680.803 5204.46
680.758 5188.03
680.714 5257.53
680.669 5243.7
680.625 5151.77
680.58 5057.27
680.536 5074.7
680.491 5164.99
680.447 5315.08
680.402 5147.78
680.358 5196.39
680.313 5281.4
680.269 5241.58
680.224 5279.76
680.18 5346.52
680.135 5226.14
680.091 5240.92
680.046 5260.89
680.002 5265.27
679.957 5272.24
679.913 5188.33
679.868 5114.83
679.824 5417.76
679.779 5172.93
679.735 5301.89
679.69 5345.18
679.646 5308.02
679.601 5273.48
679.557 5371.21
679.512 5183.67
679.468 5312.5
679.423 5358.34
679.379 5271.97
679.334 5087.16
679.29 5332.52
679.245 5308.38
679.201 5201.35
679.156 5172.05
679.111 5373.23
679.067 5108.3
679.022 5218.82
678.978 5254.25
678.933 5248.26
678.889 5376.82
678.844 5143.14
678.8 5261.33
678.755 5252.75
678.711 5282.97
678.666 5067.55
678.622 5167.58
678.577 5107.33
678.532 5101.36
678.488 5097.99
678.443 5128.2
678.399 5137.73
678.354 5196.33
678.31 5146.46
678.265 5150.82
678.221 5157.77
678.176 5076.95
678.132 4993.58
678.087 5168.26
678.042 5133.92
677.998 5125.38
677.953 5140.06
677.909 5118.63
677.864 4880.63
677.82 5127.34
677.775 4879.11
677.731 4955.66
677.686 5045.07
677.641 5057.17
677.597 4963.65
677.552 4924.25
677.508 5029.06
677.463 4933.01
677.419 4981.15
677.374 5067.89
677.329 5041.36
677.285 4868.19
677.24 4972.91
677.196 4912.97
677.151 4961.07
677.107 4991.15
677.062 4805.26
677.017 4693.98
676.973 4832.04
676.928 4833.85
676.884 4768.86
676.839 4842.62
676.795 4939.48
676.75 4787.18
676.705 4727.37
676.661 4890.95
676.616 4823.45
676.572 4732.86
676.527 4821.94
676.482 4777.57
676.438 4889.71
676.393 4668.35
676.349 4762.51
676.304 4679.72
676.259 4663.6
676.215 4688.51
676.17 4664.71
676.126 4581.98
676.081 4742.69
676.036 4744.51
675.992 4661.8
675.947 4689.25
675.903 4657.79
675.858 4631.46
675.813 4612.82
675.769 4724.71
675.724 4649.76
675.68 4641.36
675.635 4699.48
675.59 4703.86
675.546 4582.92
675.501 4669.15
675.456 4627.51
675.412 4435.07
675.367 4523.83
675.323 4679.01
675.278 4501.98
675.233 4567.7
675.189 4521.01
675.144 4635.23
675.1 4665.14
675.055 4442.3
675.01 4377.79
674.966 4517.48
674.921 4562.71
674.876 4607.92
674.832 4551.08
674.787 4478.95
674.742 4526.7
674.698 4475.0
674.653 4594.12
674.609 4445.56
674.564 4409.19
674.519 4360.08
674.475 4428.19
674.43 4384.19
674.385 4434.45
674.341 4372.63
674.296 4392.32
674.251 4381.45
674.207 4383.31
674.162 4433.53
674.117 4389.57
674.073 4411.79
674.028 4324.61
673.984 4285.78
673.939 4346.14
673.894 4271.72
673.85 4324.44
673.805 4453.4
673.76 4396.79
673.716 4335.12
673.671 4268.38
673.626 4308.36
673.582 4340.71
673.537 4345.11
673.492 4336.81
673.448 4287.89
673.403 4238.99
673.358 4230.715
673.314 4222.44
673.269 4125.37
673.224 4203.36
673.18 4192.56
673.135 4331.38
673.09 4312.95
673.046 4213.41
673.001 4184.87
672.956 4313.46
672.912 4145.55
672.867 4208.24
672.822 4009.99
672.778 4222.12
672.733 4251.84
672.688 4154.96
672.643 4098.62
672.599 4267.56
672.554 4165.66
672.509 4043.55
672.465 4217.49
672.42 4108.06
672.375 4173.17
672.331 4233.21
672.286 4171.86
672.241 4120.65
672.197 4211.0
672.152 4139.58
672.107 3972.16
672.063 4100.38
672.018 4082.06
671.973 4066.26
671.928 4047.95
671.884 4125.59
671.839 4135.04
671.794 4078.86
671.75 4100.93
671.705 4049.83
671.66 3963.41
671.615 4114.14
671.571 4017.66
671.526 4072.5
671.481 4079.43
671.437 4131.73
671.392 4136.12
671.347 4067.43
671.302 4011.36
671.258 4010.73
671.213 4143.6
671.168 4037.17
671.124 4021.43
671.079 3935.2
671.034 3932.06
670.989 4102.6
670.945 4003.81
670.9 4151.63
670.855 4005.07
670.811 4105.05
670.766 4016.38
670.721 4076.1
670.676 4015.12
670.632 3961.7
670.587 4061.62
670.542 3980.56
670.497 4007.58
670.453 4006.95
670.408 4028.93
670.363 4116.19
670.318 4022.64
670.274 3939.16
670.229 3976.19
670.184 4000.66
670.14 4025.13
670.095 3863.92
670.05 4048.95
670.005 4043.3
669.961 4037.65
669.916 4072.12
669.871 4006.3
669.826 3945.51
669.782 3997.52
669.737 3906.68
669.692 3911.07
669.647 3950.54
669.603 3992.5
669.558 3879.18
669.513 4043.83
669.468 3895.48
669.423 3909.89
669.379 3886.75
669.334 3991.24
669.289 4015.63
669.244 3884.92
669.2 3894.31
669.155 3916.21
669.11 3965.6
669.065 3992.47
669.021 4074.33
668.976 4011.21
668.931 3960.61
668.886 4019.94
668.842 4051.79
668.797 3936.26
668.752 4070.49
668.707 4134.77
668.662 4126.63
668.618 3983.7
668.573 4055.45
668.528 3979.95
668.483 3899.49
668.439 3938.79
668.394 3900.76
668.349 3989.92
668.304 3956.88
668.259 3991.15
668.215 3905.78
668.17 3979.93
668.125 4054.05
668.08 3861.58
668.035 3960.61
667.991 3885.27
667.946 3799.99
667.901 3816.82
667.856 3890.9
667.811 3979.9
667.767 3929.5
667.722 3948.78
667.677 3948.16
667.632 3905.25
667.587 4046.4
667.543 3889.1
667.498 3980.48
667.453 3833.19
667.408 4016.51
667.363 3891.62
667.319 3928.28
667.274 3935.11
667.229 3909.65
667.184 3849.43
667.139 3786.75
667.095 3945.05
667.05 3934.5
667.005 3921.47
666.96 3958.07
666.915 3910.3
666.87 3902.25
666.826 3968.6
666.781 3749.74
666.736 3925.2
666.691 3976.64
666.646 3866.94
666.602 3834.12
666.557 3957.41
666.512 3877.5
666.467 3886.8
666.422 3915.91
666.377 3828.62
666.333 3959.24
666.288 3839.79
666.243 3883.74
666.198 3850.95
666.153 3823.12
666.108 3921.48
666.064 3906.02
666.019 3888.09
665.974 3877.59
665.929 3847.3
665.884 3913.44
665.839 3944.96
665.794 3867.72
665.75 3874.53
665.705 3854.15
665.66 3910.36
665.615 3860.34
665.57 3926.41
665.525 3891.22
665.481 3917.76
665.436 3771.51
665.391 3830.15
665.346 3814.74
665.301 3791.93
665.256 3855.47
665.211 3810.46
665.167 3910.97
665.122 3861.04
665.077 3700.19
665.032 3914.04
664.987 4036.64
664.942 3853.67
664.897 3781.62
664.853 3830.28
664.808 3817.36
664.763 3858.62
664.718 3877.71
664.673 3724.47
664.628 3822.33
664.583 3875.87
664.538 3821.12
664.494 3795.92
664.449 3881.41
664.404 3947.2
664.359 3794.12
664.314 4012.33
664.269 3829.79
664.224 3831.64
664.179 3924.42
664.135 3867.29
664.09 3903.52
664.045 3856.24
664.0 3907.2
663.955 3808.36
663.91 3851.95
663.865 3853.8
663.82 3838.46
663.775 3886.93
663.731 3775.91
663.686 3819.47
663.641 3912.07
663.596 3862.4
663.551 3930.44
663.506 3851.37
663.461 3794.38
663.416 3739.87
663.371 3668.21
663.326 3780.33
663.282 3897.32
663.237 3906.49
663.192 3849.55
663.147 3826.91
663.102 3750.41
663.057 3735.13
663.012 3803.06
662.967 3800.01
662.922 3855.68
662.877 3815.93
662.832 3881.36
662.788 3753.59
662.743 3789.67
662.698 3718.18
662.653 3751.81
662.608 3690.12
662.563 3811.7
662.518 3830.64
662.473 3766.53
662.428 3707.32
662.383 3848.36
662.338 3750.09
662.293 3739.73
662.248 3685.44
662.204 3767.83
662.159 3713.55
662.114 3827.62
662.069 3678.23
662.024 3821.53
661.979 3752.65
661.934 3791.06
661.889 3710.02
661.844 3724.05
661.799 3667.42
661.754 3786.22
661.709 3736.9
661.664 3875.14
661.619 3735.71
661.574 3834.95
661.53 3827.04
661.485 3843.47
661.44 3782.02
661.395 3696.25
661.35 3792.98
661.305 3802.11
661.26 3794.21
661.215 3754.7
661.17 3814.89
661.125 3658.7
661.08 3662.98
661.035 3808.21
660.99 3788.17
660.945 3838.58
660.9 3789.39
660.855 3749.93
660.81 3676.49
660.765 3676.49
660.72 3676.49
660.675 3728.13
660.63 3783.36
660.586 3807.02
660.541 3663.28
660.496 3677.25
660.451 3664.54
660.406 3780.35
660.361 3787.02
660.316 3648.25
660.271 3671.91
660.226 3632.55
660.181 3627.13
660.136 3767.06
660.091 3657.46
660.046 3785.23
660.001 3733.78
659.956 3728.35
659.911 3672.08
659.866 3746.52
659.821 3745.93
659.776 3696.94
659.731 3856.01
659.686 3562.74
659.641 3639.56
659.596 3684.92
659.551 3672.25
659.506 3695.83
659.461 3738.75
659.416 3713.99
659.371 3976.74
659.326 3842.0649999999996
659.281 3707.39
659.236 3639.18
659.191 3727.94
659.146 3715.27
659.101 3651.93
659.056 3605.49
659.011 3771.41
658.966 3575.39
658.921 3847.4
658.876 3620.08
658.831 3665.32
658.786 3652.68
658.741 3767.81
658.696 3644.29
658.651 3718.41
658.606 3640.72
658.561 3628.09
658.516 3560.07
658.471 3629.34
658.426 3674.52
658.381 3664.3
658.336 3750.38
658.291 3809.95
658.246 3636.08
658.201 3584.97
658.156 3661.38
658.111 3660.8
658.066 3604.9
658.021 3616.35
657.976 3586.93
657.931 3653.66
657.886 3691.53
657.841 3563.59
657.796 3591.85
657.751 3788.26
657.706 3689.18
657.661 3724.61
657.616 3579.95
657.571 3663.41
657.526 3686.82
657.481 3640.64
657.435 3659.25
657.39 3577.1
657.345 3646.09
657.3 3688.68
657.255 3649.73
657.21 3685.11
657.165 3545.48
657.12 3624.01
657.075 3513.2
657.03 3644.42
656.985 3655.82
656.94 3691.16
656.895 3647.47
656.85 3680.41
656.805 3653.48
656.76 3724.71
656.715 3511.11
656.67 3678.06
656.625 3694.22
656.58 3631.43
656.535 3535.18
656.49 3668.54
656.444 3622.52
656.399 3574.13
656.354 3595.07
656.309 3527.58
656.264 3574.8
656.219 3574.23
656.174 3652.49
656.129 3608.92
656.084 3488.94
656.039 3648.36
655.994 3635.84
655.949 3604.23
655.904 3496.26
655.859 3579.21
655.814 3588.18
655.768 3675.87
655.723 3482.1
655.678 3591.23
655.633 3690.8
655.588 3523.34
655.543 3689.62
655.498 3588.94
655.453 3652.7
655.408 3549.67
655.363 3530.05
655.318 3512.81
655.273 3547.97
655.228 3566.45
655.182 3661.1
655.137 3498.67
655.092 3538.56
655.047 3557.03
655.002 3563.6
654.957 3608.22
654.912 3474.47
654.867 3526.22
654.822 3535.17
654.777 3548.86
654.732 3536.41
654.686 3509.71
654.641 3561.42
654.596 3506.21
654.551 3593.53
654.506 3471.84
654.461 3568.63
654.416 3589.43
654.371 3572.24
654.326 3559.8
654.281 3423.98
654.235 3551.54
654.19 3579.44
654.145 3588.35
654.1 3564.07
654.055 3565.87
654.01 3562.92
653.965 3595.54
653.92 3526.24
653.875 3532.78
653.829 3589.07
653.784 3619.29
653.739 3500.3
653.694 3402.65
653.649 3586.77
653.604 3678.52
653.559 3545.39
653.514 3554.29
653.468 3593.94
653.423 3598.09
653.378 3474.52
653.333 3592.21
653.288 3478.14
653.243 3449.21
653.198 3415.57
653.153 3467.01
653.107 3612.96
653.062 3421.01
653.017 3512.59
652.972 3504.94
652.927 3568.14
652.882 3499.1
652.837 3430.07
652.791 3443.69
652.746 3443.13
652.701 3555.84
652.656 3616.61
652.611 3476.86
652.566 3575.35
652.521 3466.31
652.475 3510.55
652.43 3458.13
652.385 3471.71
652.34 3468.8
652.295 3498.87
652.25 3507.74
652.205 3490.68
652.159 3518.38
652.114 3428.34
652.069 3500.78
652.024 3471.97
651.979 3414.93
651.934 3496.74
651.888 3531.47
651.843 3434.45
651.798 3605.6
651.753 3435.7
651.708 3557.41
651.663 3427.54
651.617 3469.3
651.572 3567.45
651.527 3531.63
651.482 3502.87
651.437 3521.1
651.392 3400.76
651.346 3454.22
651.301 3484.19
651.256 3460.15
651.211 3415.0
651.166 3459.04
651.121 3395.13
651.075 3558.8
651.03 3546.5
650.985 3499.03
650.94 3578.19
650.895 3535.42
650.85 3436.4
650.804 3555.37
650.759 3376.71
650.714 3507.37
650.669 3497.44
650.624 3454.71
650.578 3519.73
650.533 3472.34
650.488 3560.74
650.443 3438.45
650.398 3473.0
650.352 3329.71
650.307 3483.58
650.262 3384.78
650.217 3463.75
650.172 3470.21
650.126 3549.14
650.081 3415.32
650.036 3449.83
649.991 3453.95
649.946 3518.82
649.9 3441.16
649.855 3594.77
649.81 3433.05
649.765 3481.53
649.72 3492.64
649.674 3531.76
649.629 3458.84
649.584 3451.29
649.539 3553.39
649.494 3415.18
649.448 3489.27
649.403 3498.04
649.358 3565.09
649.313 3436.3
649.268 3524.32
649.222 3467.82
649.177 3457.94
649.132 3562.22
649.087 3482.45
649.041 3439.96
648.996 3430.09
648.951 3424.88
648.906 3340.53
648.861 3575.07
648.815 3507.01
648.77 3501.79
648.725 3477.96
648.68 3358.77
648.634 3544.28
648.589 3462.33
648.544 3429.22
648.499 3461.21
648.453 3486.22
648.408 3520.51
648.363 3471.15
648.318 3386.96
648.273 3458.42
648.227 3471.79
648.182 3503.74
648.137 3431.21
648.092 3516.54
648.046 3432.42
648.001 3499.16
647.956 3484.68
647.911 3521.23
647.865 3420.93
647.82 3552.56
647.775 3496.34
647.73 3493.46
647.684 3472.03
647.639 3346.33
647.594 3487.13
647.549 3361.47
647.503 3490.64
647.458 3476.18
647.413 3424.68
647.368 3382.45
647.322 3435.14
647.277 3517.91
647.232 3390.07
647.187 3461.24
647.141 3363.53
647.096 3427.74
647.051 3501.19
647.005 3482.13
646.96 3426.08
646.915 3455.58
646.87 3503.55
646.824 3493.74
646.779 3479.32
646.734 3561.91
646.689 3411.22
646.643 3394.5
646.598 3518.63
646.553 3460.35
646.508 3535.95
646.462 3486.92
646.417 3391.76
646.372 3455.8
646.326 3439.1
646.281 3477.75
646.236 3518.69
646.191 3405.15
646.145 3457.62
646.1 3443.23
646.055 3442.68
646.009 3555.01
645.964 3517.58
645.919 3397.25
645.874 3456.57
645.828 3561.92
645.783 3503.8
645.738 3484.81
645.692 3481.95
645.647 3416.96
645.602 3437.11
645.556 3546.97
645.511 3452.1
645.466 3453.84
645.421 3359.02
645.375 3413.64
645.33 3367.12
645.285 3469.99
645.239 3430.37
645.194 3367.78
645.149 3463.71
645.103 3483.82
645.058 3474.07
645.013 3395.45
644.968 3399.49
644.922 3488.44
644.877 3501.65
644.832 3462.08
644.786 3392.7
644.741 3428.85
644.696 3453.52
644.65 3432.32
644.605 3424.89
644.56 3442.67
644.514 3403.15
644.469 3427.81
644.424 3415.8
644.378 3552.68
644.333 3364.3
644.288 3404.98
644.242 3486.84
644.197 3431.34
644.152 3364.41
644.106 3462.26
644.061 3411.37
644.016 3442.84
643.97 3359.94
643.925 3320.52
643.88 3528.05
643.834 3458.9
643.789 3513.19
643.744 3489.77
643.698 3352.1
643.653 3438.38
643.608 3389.85
643.562 3409.85
643.517 3473.24
643.472 3486.38
643.426 3515.49
643.381 3476.11
643.336 3423.06
643.29 3372.31
643.245 3444.77
643.2 3435.08
643.154 3443.65
643.109 3547.98
643.064 3367.29
643.018 3423.73
642.973 3543.97
642.928 3420.34
642.882 3542.82
642.837 3448.85
642.792 3418.68
642.746 3440.9
642.701 3447.17
642.655 3451.16
642.61 3473.36
642.565 3422.73
642.519 3435.83
642.474 3460.29
642.429 3400.59
642.383 3491.01
642.338 3522.28
642.293 3410.3
642.247 3464.3
642.202 3395.56
642.156 3529.08
642.111 3508.05
642.066 3527.93
642.02 3520.54
641.975 3467.74
641.93 3444.47
641.884 3484.77
641.839 3400.22
641.793 3565.34
641.748 3489.88
641.703 3516.54
641.657 3418.43
641.612 3467.77
641.567 3394.64
641.521 3464.37
641.476 3370.86
641.43 3508.57
641.385 3410.56
641.34 3443.99
641.294 3452.49
641.249 3460.99
641.203 3367.57
641.158 3459.86
641.113 3488.73
641.067 3583.23
641.022 3528.33
640.977 3468.93
640.931 3389.17
640.886 3370.53
640.84 3476.28
640.795 3346.81
640.75 3459.32
640.704 3467.8
640.659 3555.38
640.613 3532.21
640.568 3570.04
640.523 3515.24
640.477 3492.08
640.432 3419.24
640.386 3402.88
640.341 3445.22
640.295 3516.89
640.25 3536.63
640.205 3346.5
640.159 3549.02
640.114 3437.9
640.068 3505.01
640.023 3531.5
639.978 3499.36
639.932 3512.31
639.887 3523.01
639.841 3513.42
639.796 3501.58
639.751 3557.33
639.705 3423.85
639.66 3450.32
639.614 3454.26
639.569 3437.94
639.523 3392.36
639.478 3472.83
639.433 3492.52
639.387 3512.2
639.342 3482.38
639.296 3459.32
639.251 3456.5
639.205 3453.69
639.16 3540.81
639.115 3418.85
639.069 3535.16
639.024 3514.36
638.978 3500.3
638.933 3533.43
638.887 3490.18
638.842 3507.57
638.796 3547.41
638.751 3510.92
638.706 3519.32
638.66 3440.2
638.615 3408.23
638.569 3452.54
638.524 3555.15
638.478 3543.36
638.433 3430.67
638.387 3376.3
638.342 3514.73
638.297 3563.46
638.251 3385.85
638.206 3508.52
638.16 3463.15
638.115 3471.54
638.069 3533.68
638.024 3604.74
637.978 3550.43
637.933 3511.8
637.887 3453.04
637.842 3503.94
637.797 3559.29
637.751 3467.01
637.706 3560.37
637.66 3501.65
637.615 3503.31
637.569 3507.21
637.524 3455.23
637.478 3497.12
637.433 3572.52
637.387 3520.55
637.342 3631.65
637.296 3546.2
637.251 3496.5
637.205 3522.72
637.16 3504.28
637.115 3534.95
637.069 3527.68
637.024 3498.1
636.978 3490.84
636.933 3510.34
636.887 3454.02
636.842 3500.27
636.796 3475.18
636.751 3465.7
636.705 3576.55
636.66 3564.82
636.614 3533.05
636.569 3588.15
636.523 3592.02
636.478 3529.09
636.432 3586.39
636.387 3706.0
636.341 3493.97
636.296 3422.2
636.25 3570.7
636.205 3503.38
636.159 3507.25
636.114 3535.59
636.068 3541.68
636.023 3514.42
635.977 3589.41
635.932 3526.6
635.886 3539.36
635.841 3474.36
635.795 3551.52
635.75 3613.12
635.704 3501.51
635.659 3643.02
635.613 3549.2
635.568 3652.92
635.522 3592.41
635.477 3596.26
635.431 3679.96
635.386 3546.29
635.34 3601.14
635.295 3585.03
635.249 3606.61
635.204 3619.32
635.158 3538.95
635.113 3580.47
635.067 3555.51
635.022 3534.99
634.976 3503.41
634.931 3531.62
634.885 3663.87
634.84 3612.36
634.794 3589.64
634.748 3553.64
634.703 3621.64
634.657 3665.29
634.612 3589.49
634.566 3701.68
634.521 3521.99
634.475 3614.25
634.43 3571.66
634.384 3551.19
634.339 3583.75
634.293 3561.07
634.248 3474.34
634.202 3584.19
634.157 3691.8
634.111 3547.69
634.065 3540.49
634.02 3577.42
633.974 3658.48
633.929 3620.37
633.883 3584.48
633.838 3480.24
633.792 3534.79
633.747 3617.99
633.701 3588.74
633.656 3581.54
633.61 3607.4
633.565 3593.58
633.519 3577.57
633.473 3625.44
633.428 3629.25
633.382 3589.02
633.337 3595.03
633.291 3568.03
633.246 3527.83
633.2 3621.87
633.155 3561.87
633.109 3680.07
633.063 3527.71
633.018 3555.72
632.972 3537.54
632.927 3578.73
632.881 3729.79
632.836 3575.35
632.79 3662.65
632.744 3571.98
632.699 3588.96
632.653 3647.67
632.608 3684.39
632.562 3688.18
632.517 3599.77
632.471 3588.21
632.425 3622.72
632.38 3635.29
632.334 3546.95
632.289 3583.65
632.243 3604.99
632.198 3672.36
632.152 3564.34
632.106 3675.54
632.061 3690.27
632.015 3639.27
631.97 3636.48
631.924 3541.7
631.879 3639.66
631.833 3538.34
631.787 3555.27
631.742 3672.88
631.696 3643.83
631.651 3531.63
631.605 3557.31
631.559 3637.65
631.514 3669.86
631.468 3664.88
631.423 3607.43
631.377 3665.86
631.331 3617.17
631.286 3679.95
631.24 3567.91
631.195 3569.51
631.149 3671.58
631.103 3607.64
631.058 3633.25
631.012 3643.56
630.967 3647.33
630.921 3585.62
630.875 3609.03
630.83 3708.79
630.784 3603.48
630.739 3666.13
630.693 3613.19
630.647 3662.74
630.602 3603.28
630.556 3567.81
630.511 3682.72
630.465 3653.79
